Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    69504     0.00     0.00  std::complex<double>::__rep() const
  0.00      0.00     0.00    50419     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.00     0.00    47344     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::base() const
  0.00      0.00     0.00    46848     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  0.00      0.00     0.00    46081     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    46080     0.00     0.00  std::complex<double>* std::__addressof<std::complex<double> >(std::complex<double>&)
  0.00      0.00     0.00    37888     0.00     0.00  std::complex<double>::complex(double, double)
  0.00      0.00     0.00    36864     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator++()
  0.00      0.00     0.00    36864     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator*() const
  0.00      0.00     0.00    30720     0.00     0.00  void std::_Construct<std::complex<double>>(std::complex<double>*)
  0.00      0.00     0.00    23291     0.00     0.00  bool __gnu_cxx::operator==<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&)
  0.00      0.00     0.00    18944     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator++()
  0.00      0.00     0.00    18944     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator*() const
  0.00      0.00     0.00    15360     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long) const
  0.00      0.00     0.00    15360     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long)
  0.00      0.00     0.00    15360     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  0.00      0.00     0.00    15360     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.00     0.00    14592     0.00     0.00  std::complex<double>::operator*=(double)
  0.00      0.00     0.00    10361     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::base() const
  0.00      0.00     0.00     8192     0.00     0.00  void std::_Construct<std::complex<double>, std::complex<double> const&>(std::complex<double>*, std::complex<double> const&)
  0.00      0.00     0.00     8192     0.00     0.00  std::complex<double> std::__complex_pow_unsigned<double>(std::complex<double>, unsigned int)
  0.00      0.00     0.00     8192     0.00     0.00  std::complex<double> std::pow<double>(std::complex<double> const&, int)
  0.00      0.00     0.00     8192     0.00     0.00  std::complex<double> const& std::forward<std::complex<double> const&>(std::remove_reference<std::complex<double> const&>::type&)
  0.00      0.00     0.00     7676     0.00     0.00  std::move_iterator<std::complex<double>*>::base() const &
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double>::complex(double _Complex)
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double>::operator/=(double)
  0.00      0.00     0.00     7296     0.00     0.00  std::__complex_exp(double _Complex)
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double> std::exp<double>(std::complex<double> const&)
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double> std::operator/<double>(std::complex<double> const&, double const&)
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double> std::operator*<double>(double const&, std::complex<double> const&)
  0.00      0.00     0.00     7296     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, double const&)
  0.00      0.00     0.00     7168     0.00     0.00  std::multiplies<std::complex<double> >::operator()(std::complex<double> const&, std::complex<double> const&) const
  0.00      0.00     0.00     7168     0.00     0.00  std::plus<std::complex<double> >::operator()(std::complex<double> const&, std::complex<double> const&) const
  0.00      0.00     0.00     7168     0.00     0.00  std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.00     0.00     4863     0.00     0.00  bool __gnu_cxx::operator==<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&)
  0.00      0.00     0.00     4096     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.00     0.00     4096     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.00     0.00     4096     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.00     0.00     3945     0.00     0.00  std::allocator<std::complex<double> >::~allocator()
  0.00      0.00     0.00     3838     0.00     0.00  bool std::operator==<std::complex<double>*>(std::move_iterator<std::complex<double>*> const&, std::move_iterator<std::complex<double>*> const&)
  0.00      0.00     0.00     3584     0.00     0.00  std::move_iterator<std::complex<double>*>::operator*() const
  0.00      0.00     0.00     3584     0.00     0.00  std::ranges::__cust_imove::_IMove::__result<std::complex<double>* const&>::type std::ranges::__cust_imove::_IMove::operator()<std::complex<double>* const&>(std::complex<double>* const&) const
  0.00      0.00     0.00     3584     0.00     0.00  std::move_iterator<std::complex<double>*>::operator++()
  0.00      0.00     0.00     3584     0.00     0.00  void std::_Construct<std::complex<double>, std::complex<double>&>(std::complex<double>*, std::complex<double>&)
  0.00      0.00     0.00     3584     0.00     0.00  void std::_Construct<std::complex<double>, std::complex<double> >(std::complex<double>*, std::complex<double>&&)
  0.00      0.00     0.00     3584     0.00     0.00  std::complex<double>& std::forward<std::complex<double>&>(std::remove_reference<std::complex<double>&>::type&)
  0.00      0.00     0.00     3584     0.00     0.00  std::complex<double>&& std::forward<std::complex<double> >(std::remove_reference<std::complex<double> >::type&)
  0.00      0.00     0.00     3435     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2923     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double> const* const&)
  0.00      0.00     0.00     2673     0.00     0.00  std::allocator<std::complex<double> >::allocator(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2673     0.00     0.00  std::__new_allocator<std::complex<double> >::__new_allocator(std::__new_allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2670     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const
  0.00      0.00     0.00     2048     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.00     0.00     2048     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.00     0.00     2048     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
